log_id,timestamp,service,severity,node_id,rack_id,job_id,model_name,message
log-000138,2026-04-01T00:00:00Z,training-scheduler,INFO,gpu-node-12,rack-f,,chat-small-8b,placement decision recorded
log-000240,2026-04-01T03:47:00Z,gpu-node-health,INFO,gpu-node-12,rack-f,,,queue depth sampled
log-000164,2026-04-01T04:33:00Z,checkpoint-storage,INFO,gpu-node-06,rack-c,,chat-mid-34b,queue depth sampled
log-000121,2026-04-01T04:48:00Z,checkpoint-storage,INFO,gpu-node-04,rack-b,,,replica rotated
log-000263,2026-04-01T05:00:00Z,checkpoint-storage,WARN,gpu-node-11,rack-f,,chat-mid-34b,queue depth sampled
log-000244,2026-04-01T06:38:00Z,training-scheduler,WARN,gpu-node-05,rack-c,,,checkpoint completed
log-000298,2026-04-01T12:23:00Z,inference-gateway,INFO,gpu-node-05,rack-c,,,health check passed
log-000182,2026-04-01T13:34:00Z,inference-gateway,WARN,gpu-node-10,rack-e,,chat-mid-34b,health check passed
log-000259,2026-04-01T14:08:00Z,inference-gateway,INFO,gpu-node-02,rack-a,,chat-small-8b,queue depth sampled
log-000219,2026-04-01T15:55:00Z,training-scheduler,WARN,gpu-node-09,rack-e,,chat-mid-34b,replica rotated
log-000214,2026-04-01T20:25:00Z,inference-gateway,INFO,gpu-node-10,rack-e,,chat-small-8b,checkpoint completed
log-000241,2026-04-01T21:56:00Z,checkpoint-storage,INFO,gpu-node-07,rack-d,,chat-small-8b,checkpoint completed
log-000221,2026-04-01T22:08:00Z,inference-gateway,INFO,gpu-node-03,rack-b,,chat-small-8b,health check passed
log-000079,2026-04-01T23:56:00Z,training-job,ERROR,gpu-node-10,rack-e,job-00030,,job failed with exit_reason=cuda_out_of_memory
log-000142,2026-04-02T09:25:00Z,inference-gateway,INFO,gpu-node-12,rack-f,,,replica rotated
log-000265,2026-04-02T11:19:00Z,checkpoint-storage,INFO,gpu-node-05,rack-c,,,placement decision recorded
log-000261,2026-04-02T12:21:00Z,checkpoint-storage,WARN,gpu-node-09,rack-e,,,health check passed
log-000212,2026-04-02T12:24:00Z,checkpoint-storage,WARN,gpu-node-02,rack-a,,chat-small-8b,health check passed
log-000075,2026-04-02T12:31:00Z,training-job,ERROR,gpu-node-03,rack-b,job-00050,,job failed with exit_reason=node_lost
log-000203,2026-04-02T13:35:00Z,checkpoint-storage,WARN,gpu-node-09,rack-e,,,replica rotated
log-000153,2026-04-02T19:45:00Z,gpu-node-health,INFO,gpu-node-11,rack-f,,chat-small-8b,checkpoint completed
log-000172,2026-04-02T21:27:00Z,gpu-node-health,WARN,gpu-node-08,rack-d,,chat-small-8b,replica rotated
log-000090,2026-04-02T21:50:00Z,training-job,ERROR,gpu-node-07,rack-d,job-00083,,job failed with exit_reason=cuda_out_of_memory
log-000147,2026-04-02T22:58:00Z,training-scheduler,INFO,gpu-node-04,rack-b,,,replica rotated
log-000200,2026-04-03T00:10:00Z,inference-gateway,INFO,gpu-node-03,rack-b,,,checkpoint completed
log-000168,2026-04-03T00:18:00Z,checkpoint-storage,INFO,gpu-node-10,rack-e,,chat-small-8b,placement decision recorded
log-000256,2026-04-03T02:24:00Z,inference-gateway,INFO,gpu-node-06,rack-c,,chat-small-8b,placement decision recorded
log-000163,2026-04-03T03:11:00Z,training-scheduler,INFO,gpu-node-07,rack-d,,chat-mid-34b,queue depth sampled
log-000001,2026-04-03T10:09:00Z,inference-gateway,WARN,gpu-node-03,rack-b,,chat-mid-34b,p95 latency spike and high KV cache pressure
log-000002,2026-04-03T10:13:00Z,inference-gateway,WARN,gpu-node-03,rack-b,,chat-mid-34b,p95 latency spike and high KV cache pressure
log-000003,2026-04-03T10:35:00Z,inference-gateway,WARN,gpu-node-03,rack-b,,chat-mid-34b,p95 latency spike and high KV cache pressure
log-000156,2026-04-03T10:40:00Z,gpu-node-health,INFO,gpu-node-12,rack-f,,,queue depth sampled
log-000004,2026-04-03T10:48:00Z,inference-gateway,WARN,gpu-node-03,rack-b,,chat-mid-34b,p95 latency spike and high KV cache pressure
log-000005,2026-04-03T11:09:00Z,inference-gateway,WARN,gpu-node-03,rack-b,,chat-mid-34b,p95 latency spike and high KV cache pressure
log-000006,2026-04-03T11:22:00Z,inference-gateway,WARN,gpu-node-03,rack-b,,chat-mid-34b,p95 latency spike and high KV cache pressure
log-000007,2026-04-03T11:40:00Z,inference-gateway,WARN,gpu-node-03,rack-b,,chat-mid-34b,p95 latency spike and high KV cache pressure
log-000209,2026-04-03T13:38:00Z,checkpoint-storage,INFO,gpu-node-10,rack-e,,chat-mid-34b,replica rotated
log-000170,2026-04-03T17:02:00Z,inference-gateway,INFO,gpu-node-04,rack-b,,,replica rotated
log-000253,2026-04-03T17:11:00Z,training-scheduler,INFO,gpu-node-04,rack-b,,chat-mid-34b,placement decision recorded
log-000152,2026-04-03T17:43:00Z,gpu-node-health,INFO,gpu-node-04,rack-b,,chat-mid-34b,health check passed
log-000126,2026-04-03T18:57:00Z,gpu-node-health,INFO,gpu-node-05,rack-c,,embed-small,placement decision recorded
log-000197,2026-04-03T20:07:00Z,gpu-node-health,WARN,gpu-node-03,rack-b,,,placement decision recorded
log-000087,2026-04-03T21:14:00Z,training-job,ERROR,gpu-node-02,rack-a,job-00123,,job failed with exit_reason=cuda_out_of_memory
log-000086,2026-04-04T01:52:00Z,training-job,ERROR,gpu-node-01,rack-a,job-00130,,job failed with exit_reason=node_lost
log-000166,2026-04-04T03:49:00Z,training-scheduler,INFO,gpu-node-01,rack-a,,,queue depth sampled
log-000248,2026-04-04T04:15:00Z,inference-gateway,INFO,gpu-node-01,rack-a,,embed-small,queue depth sampled
log-000260,2026-04-04T05:16:00Z,inference-gateway,INFO,gpu-node-12,rack-f,,,health check passed
log-000148,2026-04-04T08:32:00Z,gpu-node-health,INFO,gpu-node-02,rack-a,,embed-small,checkpoint completed
log-000188,2026-04-04T13:35:00Z,checkpoint-storage,INFO,gpu-node-04,rack-b,,chat-small-8b,queue depth sampled
log-000030,2026-04-04T14:05:00Z,training-scheduler,WARN,,,,,8-GPU and 16-GPU jobs waiting behind small jobs
log-000031,2026-04-04T14:25:00Z,training-scheduler,WARN,,,,,8-GPU and 16-GPU jobs waiting behind small jobs
log-000032,2026-04-04T14:45:00Z,training-scheduler,WARN,,,,,8-GPU and 16-GPU jobs waiting behind small jobs
log-000033,2026-04-04T14:51:00Z,training-scheduler,WARN,,,,,8-GPU and 16-GPU jobs waiting behind small jobs
log-000034,2026-04-04T15:02:00Z,training-scheduler,WARN,,,,,8-GPU and 16-GPU jobs waiting behind small jobs
log-000035,2026-04-04T15:27:00Z,training-scheduler,WARN,,,,,8-GPU and 16-GPU jobs waiting behind small jobs
log-000255,2026-04-04T15:30:00Z,inference-gateway,INFO,gpu-node-05,rack-c,,chat-mid-34b,placement decision recorded
log-000036,2026-04-04T15:40:00Z,training-scheduler,WARN,,,,,8-GPU and 16-GPU jobs waiting behind small jobs
log-000246,2026-04-04T15:53:00Z,inference-gateway,INFO,gpu-node-05,rack-c,,chat-small-8b,health check passed
log-000037,2026-04-04T16:03:00Z,training-scheduler,WARN,,,,,8-GPU and 16-GPU jobs waiting behind small jobs
log-000286,2026-04-04T16:05:00Z,gpu-node-health,WARN,gpu-node-06,rack-c,,,queue depth sampled
log-000124,2026-04-04T16:35:00Z,inference-gateway,INFO,gpu-node-11,rack-f,,,placement decision recorded
log-000177,2026-04-04T17:35:00Z,inference-gateway,INFO,gpu-node-02,rack-a,,embed-small,checkpoint completed
log-000097,2026-04-04T18:52:00Z,training-job,ERROR,gpu-node-05,rack-c,job-00160,,job failed with exit_reason=cuda_out_of_memory
log-000104,2026-04-04T19:01:00Z,training-job,ERROR,gpu-node-01,rack-a,job-00163,,job failed with exit_reason=user_code_error
log-000165,2026-04-04T19:03:00Z,checkpoint-storage,WARN,gpu-node-10,rack-e,,chat-small-8b,queue depth sampled
log-000107,2026-04-04T19:11:00Z,training-job,ERROR,gpu-node-04,rack-b,job-00196,,job failed with exit_reason=cuda_out_of_memory
log-000143,2026-04-04T19:18:00Z,gpu-node-health,INFO,gpu-node-12,rack-f,,chat-small-8b,queue depth sampled
log-000230,2026-04-05T00:48:00Z,inference-gateway,INFO,gpu-node-03,rack-b,,chat-small-8b,queue depth sampled
log-000185,2026-04-05T02:24:00Z,gpu-node-health,INFO,gpu-node-12,rack-f,,chat-mid-34b,queue depth sampled
log-000289,2026-04-05T02:27:00Z,checkpoint-storage,INFO,gpu-node-08,rack-d,,chat-small-8b,replica rotated
log-000187,2026-04-05T02:57:00Z,training-scheduler,INFO,gpu-node-07,rack-d,,chat-mid-34b,queue depth sampled
log-000181,2026-04-05T04:42:00Z,gpu-node-health,INFO,gpu-node-11,rack-f,,chat-small-8b,queue depth sampled
log-000162,2026-04-05T05:44:00Z,checkpoint-storage,INFO,gpu-node-05,rack-c,,embed-small,health check passed
log-000270,2026-04-05T06:06:00Z,training-scheduler,WARN,gpu-node-07,rack-d,,chat-mid-34b,checkpoint completed
log-000208,2026-04-05T08:10:00Z,gpu-node-health,WARN,gpu-node-10,rack-e,,,replica rotated
log-000299,2026-04-05T11:08:00Z,training-scheduler,INFO,gpu-node-11,rack-f,,chat-mid-34b,health check passed
log-000285,2026-04-05T11:23:00Z,inference-gateway,INFO,gpu-node-06,rack-c,,embed-small,queue depth sampled
log-000278,2026-04-05T15:20:00Z,training-scheduler,WARN,gpu-node-11,rack-f,,,health check passed
log-000239,2026-04-05T16:02:00Z,checkpoint-storage,INFO,gpu-node-05,rack-c,,,health check passed
log-000277,2026-04-05T17:25:00Z,inference-gateway,WARN,gpu-node-06,rack-c,,chat-mid-34b,placement decision recorded
log-000267,2026-04-05T17:32:00Z,gpu-node-health,INFO,gpu-node-09,rack-e,,chat-mid-34b,placement decision recorded
log-000008,2026-04-05T18:03:00Z,inference-gateway,WARN,,rack-e,,embed-small,429s during embedding traffic burst
log-000189,2026-04-05T18:09:00Z,checkpoint-storage,INFO,gpu-node-04,rack-b,,chat-small-8b,checkpoint completed
log-000009,2026-04-05T18:25:00Z,inference-gateway,WARN,,rack-e,,embed-small,429s during embedding traffic burst
log-000010,2026-04-05T18:42:00Z,inference-gateway,WARN,,rack-e,,embed-small,429s during embedding traffic burst
log-000291,2026-04-05T18:58:00Z,checkpoint-storage,INFO,gpu-node-08,rack-d,,chat-small-8b,queue depth sampled
log-000011,2026-04-05T19:00:00Z,inference-gateway,WARN,,rack-e,,embed-small,429s during embedding traffic burst
log-000134,2026-04-05T19:59:00Z,training-scheduler,WARN,gpu-node-03,rack-b,,,checkpoint completed
log-000269,2026-04-05T20:34:00Z,inference-gateway,WARN,gpu-node-10,rack-e,,chat-mid-34b,health check passed
log-000296,2026-04-05T22:37:00Z,inference-gateway,INFO,gpu-node-03,rack-b,,,checkpoint completed
log-000151,2026-04-06T01:56:00Z,training-scheduler,INFO,gpu-node-10,rack-e,,chat-small-8b,health check passed
log-000054,2026-04-06T02:03:00Z,checkpoint-storage,ERROR,,,,,checkpoint write timed out after 300s; retry scheduled
log-000089,2026-04-06T02:14:00Z,training-job,ERROR,gpu-node-02,rack-a,job-00265,,job failed with exit_reason=checkpoint_write_timeout
log-000055,2026-04-06T02:16:00Z,checkpoint-storage,ERROR,,,,,checkpoint write timed out after 300s; retry scheduled
log-000056,2026-04-06T02:40:00Z,checkpoint-storage,ERROR,,,,,checkpoint write timed out after 300s; retry scheduled
log-000106,2026-04-06T03:01:00Z,training-job,ERROR,gpu-node-04,rack-b,job-00278,,job failed with exit_reason=checkpoint_write_timeout
log-000057,2026-04-06T03:05:00Z,checkpoint-storage,ERROR,,,,,checkpoint write timed out after 300s; retry scheduled
log-000058,2026-04-06T03:15:00Z,checkpoint-storage,ERROR,,,,,checkpoint write timed out after 300s; retry scheduled
log-000085,2026-04-06T03:30:00Z,training-job,ERROR,gpu-node-05,rack-c,job-00260,,job failed with exit_reason=checkpoint_write_timeout
log-000110,2026-04-06T03:31:00Z,training-job,ERROR,gpu-node-06,rack-c,job-00267,,job failed with exit_reason=checkpoint_write_timeout
log-000059,2026-04-06T03:36:00Z,checkpoint-storage,ERROR,,,,,checkpoint write timed out after 300s; retry scheduled
log-000060,2026-04-06T03:41:00Z,checkpoint-storage,ERROR,,,,,checkpoint write timed out after 300s; retry scheduled
log-000061,2026-04-06T03:56:00Z,checkpoint-storage,ERROR,,,,,checkpoint write timed out after 300s; retry scheduled
log-000062,2026-04-06T04:10:00Z,checkpoint-storage,ERROR,,,,,checkpoint write timed out after 300s; retry scheduled
log-000275,2026-04-06T07:19:00Z,gpu-node-health,INFO,gpu-node-06,rack-c,,chat-mid-34b,checkpoint completed
log-000082,2026-04-06T08:36:00Z,training-job,ERROR,gpu-node-11,rack-f,job-00275,,job failed with exit_reason=cuda_out_of_memory
log-000194,2026-04-06T08:51:00Z,checkpoint-storage,INFO,gpu-node-09,rack-e,,chat-mid-34b,checkpoint completed
log-000176,2026-04-06T10:05:00Z,gpu-node-health,WARN,gpu-node-08,rack-d,,embed-small,placement decision recorded
log-000137,2026-04-06T11:37:00Z,inference-gateway,INFO,gpu-node-01,rack-a,,embed-small,health check passed
log-000161,2026-04-06T13:02:00Z,checkpoint-storage,INFO,gpu-node-07,rack-d,,embed-small,replica rotated
log-000232,2026-04-06T13:46:00Z,training-scheduler,INFO,gpu-node-03,rack-b,,chat-mid-34b,placement decision recorded
log-000250,2026-04-06T14:13:00Z,inference-gateway,INFO,gpu-node-09,rack-e,,chat-mid-34b,checkpoint completed
log-000292,2026-04-06T15:19:00Z,inference-gateway,INFO,gpu-node-06,rack-c,,,replica rotated
log-000195,2026-04-06T16:48:00Z,training-scheduler,INFO,gpu-node-11,rack-f,,,placement decision recorded
log-000139,2026-04-06T19:14:00Z,gpu-node-health,WARN,gpu-node-11,rack-f,,chat-small-8b,placement decision recorded
log-000123,2026-04-07T00:47:00Z,training-scheduler,INFO,gpu-node-02,rack-a,,embed-small,placement decision recorded
log-000251,2026-04-07T01:39:00Z,training-scheduler,INFO,gpu-node-03,rack-b,,chat-mid-34b,placement decision recorded
log-000094,2026-04-07T01:49:00Z,training-job,ERROR,gpu-node-05,rack-c,job-00332,,job failed with exit_reason=user_code_error
log-000281,2026-04-07T05:44:00Z,gpu-node-health,INFO,gpu-node-03,rack-b,,,placement decision recorded
log-000213,2026-04-07T06:06:00Z,checkpoint-storage,INFO,gpu-node-12,rack-f,,chat-mid-34b,checkpoint completed
log-000171,2026-04-07T06:26:00Z,training-scheduler,INFO,gpu-node-07,rack-d,,,health check passed
log-000099,2026-04-07T06:41:00Z,training-job,ERROR,gpu-node-08,rack-d,job-00342,,job failed with exit_reason=node_lost
log-000215,2026-04-07T08:43:00Z,inference-gateway,WARN,gpu-node-10,rack-e,,,replica rotated
log-000045,2026-04-07T10:08:00Z,training-scheduler,WARN,,,,,32-GPU jobs waiting while capacity is scattered
log-000046,2026-04-07T10:18:00Z,training-scheduler,WARN,,,,,32-GPU jobs waiting while capacity is scattered
log-000047,2026-04-07T10:25:00Z,training-scheduler,WARN,,,,,32-GPU jobs waiting while capacity is scattered
log-000048,2026-04-07T10:39:00Z,training-scheduler,WARN,,,,,32-GPU jobs waiting while capacity is scattered
log-000049,2026-04-07T11:00:00Z,training-scheduler,WARN,,,,,32-GPU jobs waiting while capacity is scattered
log-000290,2026-04-07T11:00:00Z,training-scheduler,WARN,gpu-node-06,rack-c,,chat-mid-34b,checkpoint completed
log-000050,2026-04-07T11:18:00Z,training-scheduler,WARN,,,,,32-GPU jobs waiting while capacity is scattered
log-000051,2026-04-07T11:38:00Z,training-scheduler,WARN,,,,,32-GPU jobs waiting while capacity is scattered
log-000052,2026-04-07T11:48:00Z,training-scheduler,WARN,,,,,32-GPU jobs waiting while capacity is scattered
log-000053,2026-04-07T12:01:00Z,training-scheduler,WARN,,,,,32-GPU jobs waiting while capacity is scattered
log-000130,2026-04-07T18:19:00Z,training-scheduler,WARN,gpu-node-05,rack-c,,,checkpoint completed
log-000169,2026-04-07T18:28:00Z,training-scheduler,WARN,gpu-node-04,rack-b,,chat-mid-34b,health check passed
log-000140,2026-04-07T19:22:00Z,checkpoint-storage,INFO,gpu-node-03,rack-b,,embed-small,placement decision recorded
log-000093,2026-04-07T21:36:00Z,training-job,ERROR,gpu-node-06,rack-c,job-00347,,job failed with exit_reason=cuda_out_of_memory
log-000077,2026-04-07T23:16:00Z,training-job,ERROR,gpu-node-12,rack-f,job-00358,,job failed with exit_reason=user_code_error
log-000271,2026-04-08T02:00:00Z,training-scheduler,INFO,gpu-node-11,rack-f,,chat-mid-34b,health check passed
log-000103,2026-04-08T03:19:00Z,training-job,ERROR,gpu-node-08,rack-d,job-00396,,job failed with exit_reason=cuda_out_of_memory
log-000293,2026-04-08T03:53:00Z,checkpoint-storage,INFO,gpu-node-09,rack-e,,embed-small,health check passed
log-000218,2026-04-08T03:54:00Z,inference-gateway,WARN,gpu-node-04,rack-b,,,queue depth sampled
log-000222,2026-04-08T06:48:00Z,gpu-node-health,INFO,gpu-node-04,rack-b,,embed-small,placement decision recorded
log-000237,2026-04-08T07:19:00Z,checkpoint-storage,INFO,gpu-node-09,rack-e,,chat-mid-34b,replica rotated
log-000254,2026-04-08T08:23:00Z,training-scheduler,INFO,gpu-node-11,rack-f,,embed-small,placement decision recorded
log-000225,2026-04-08T08:42:00Z,inference-gateway,INFO,gpu-node-08,rack-d,,embed-small,placement decision recorded
log-000105,2026-04-08T09:03:00Z,training-job,ERROR,gpu-node-12,rack-f,job-00409,,job failed with exit_reason=node_lost
log-000100,2026-04-08T09:18:00Z,training-job,ERROR,gpu-node-10,rack-e,job-00397,,job failed with exit_reason=user_code_error
log-000012,2026-04-08T09:36:00Z,ai-fabric,WARN,,rack-c,,,RDMA latency and retransmits elevated in rack-c
log-000013,2026-04-08T09:52:00Z,ai-fabric,WARN,,rack-c,,,RDMA latency and retransmits elevated in rack-c
log-000199,2026-04-08T09:54:00Z,checkpoint-storage,INFO,gpu-node-01,rack-a,,,health check passed
log-000014,2026-04-08T10:02:00Z,ai-fabric,WARN,,rack-c,,,RDMA latency and retransmits elevated in rack-c
